city,population,wiki,parent,manual
Gömörszőlős,"71,00",https://hu.wikipedia.org/wiki/Gömörszőlős,,
Cserhátszentiván,"108,00",https://hu.wikipedia.org/wiki/Cserhátszentiván,,
Apácatorna,"139,00",https://hu.wikipedia.org/wiki/Apácatorna,,
Alsótold,"231,00",https://hu.wikipedia.org/wiki/Alsótold,,
Bozzai,"291,00",https://hu.wikipedia.org/wiki/Bozzai,,
Zalaistvánd,"337,00",https://hu.wikipedia.org/wiki/Zalaistvánd,,
Hercegszentmárton,"394,00",https://hu.wikipedia.org/wiki/Hercegszentmárton,,
Nyírlak,"428,00",http://hu.wikipedia.org/wiki/Zalagy%C3%B6m%C3%B6r%C5%91,,
Balatonújlak,"445,00",https://hu.wikipedia.org/wiki/Balatonújlak,,
Krasznokvajda,"457,00",https://hu.wikipedia.org/wiki/Krasznokvajda,,
Barskisfalud,"463,00",https://hu.wikipedia.org/wiki/Barskisfalud,,
Alsóújlak,"546,00",https://hu.wikipedia.org/wiki/Alsóújlak,,
Mersevát,"554,00",https://hu.wikipedia.org/wiki/Mersevát,,
Kisfalud,"664,00",http://hu.wikipedia.org/wiki/Kisfalud_(Gy%C5%91r-Moson-Sopron_v%C3%A1rmegye),,
Kiszető,"674,00",https://hu.wikipedia.org/wiki/Kiszető,,
Nova,"742,00",http://hu.wikipedia.org/wiki/Nova_(telep%C3%BCl%C3%A9s),,
Gánt,"745,00",https://hu.wikipedia.org/wiki/Gánt,,
Magyarlak,"761,00",https://hu.wikipedia.org/wiki/Magyarlak,,
Balogfala,"780,00",https://hu.wikipedia.org/wiki/Balogfala,,
Értarcsa,"873,00",https://hu.wikipedia.org/wiki/Értarcsa,,
Doborján,"895,00",https://hu.wikipedia.org/wiki/Doborján,,
Agyagosszergény,"936,00",https://hu.wikipedia.org/wiki/Agyagosszergény,,
Vesszős,"1 028,00",https://hu.wikipedia.org/wiki/Vesszős,,
Tótkeszi?,"1 048,00",https://hu.wikipedia.org/wiki/Magyarkeszi,,
Máza,"1 110,00",https://hu.wikipedia.org/wiki/Máza,,
Nagykamarás,"1 114,00",https://hu.wikipedia.org/wiki/Nagykamarás,,
Lakszakállas,"1 203,00",https://hu.wikipedia.org/wiki/Lakszakállas,,
Ugod,"1 241,00",https://hu.wikipedia.org/wiki/Ugod,,
Tetétlen,"1 245,00",https://hu.wikipedia.org/wiki/Tetétlen,,
Zebegény,"1 286,00",https://hu.wikipedia.org/wiki/Zebegény,,
Nádasd,"1 289,00",https://hu.wikipedia.org/wiki/Nádasd,,
Látrány,"1 365,00",https://hu.wikipedia.org/wiki/Látrány,,
Buzsák,"1 383,00",https://hu.wikipedia.org/wiki/Buzsák,,
Sopronkövesd,"1 388,00",https://hu.wikipedia.org/wiki/Sopronkövesd,,
Kőröshegy,"1 393,00",https://hu.wikipedia.org/wiki/Kőröshegy,,
Kurityán,"1 471,00",https://hu.wikipedia.org/wiki/Kurityán,,
Sajóörös,"1 490,00",https://hu.wikipedia.org/wiki/Sajóörös,,
Hercegszántó,"1 645,00",https://hu.wikipedia.org/wiki/Hercegszántó,,
Taszár,"1 732,00",https://hu.wikipedia.org/wiki/Taszár,,
Bercel,"1 747,00",https://hu.wikipedia.org/wiki/Bercel,,
Székelyfalva,"1 755,00",https://hu.wikipedia.org/wiki/Székelyfalva,,
Lábod,"1 759,00",https://hu.wikipedia.org/wiki/Lábod,,
Anarcs,"1 835,00",https://hu.wikipedia.org/wiki/Anarcs,,
Nagyszentjános,"1 887,00",https://hu.wikipedia.org/wiki/Nagyszentjános,,
Muzsla,"1 912,00",http://hu.wikipedia.org/wiki/Muzsla_(telep%C3%BCl%C3%A9s),,
Ősi,"1 965,00",https://hu.wikipedia.org/wiki/Ősi,,
Tiszapüspöki,"1 981,00",https://hu.wikipedia.org/wiki/Tiszapüspöki,,
Ürmös,"2 045,00",https://hu.wikipedia.org/wiki/Ürmös,,
Jászdózsa,"2 050,00",https://hu.wikipedia.org/wiki/Jászdózsa,,
Mehádia,"2 093,00",https://hu.wikipedia.org/wiki/Mehádia,,
Gara,"2 110,00",http://hu.wikipedia.org/wiki/Gara_(Magyarorsz%C3%A1g),,
Perbál,"2 122,00",https://hu.wikipedia.org/wiki/Perbál,,
Szigetújfalu,"2 183,00",https://hu.wikipedia.org/wiki/Szigetújfalu,,
Martonos,"2 183,00",https://hu.wikipedia.org/wiki/Martonos,,
Jánosháza,"2 325,00",https://hu.wikipedia.org/wiki/Jánosháza,,
Reviga,"2 373,00",https://en.wikipedia.org/wiki/Reviga,,
Kovászi,"2 494,00",https://hu.wikipedia.org/wiki/Kovászi,,
Ják,"2 512,00",https://hu.wikipedia.org/wiki/Ják,,
Csanytelek,"2 537,00",https://hu.wikipedia.org/wiki/Csanytelek,,
Vál,"2 558,00",https://hu.wikipedia.org/wiki/Vál,,
Porcsalma,"2 576,00",https://hu.wikipedia.org/wiki/Porcsalma,,
Andornaktálya,"2 645,00",https://hu.wikipedia.org/wiki/Andornaktálya,,
Nagygencs,"2 658,00",https://hu.wikipedia.org/wiki/Nagygencs,,
Pilisszántó,"2 688,00",https://hu.wikipedia.org/wiki/Pilisszántó,,
Tarján,"2 756,00",http://hu.wikipedia.org/wiki/Tarj%C3%A1n_(telep%C3%BCl%C3%A9s),,
Jászjákóhalma,"2 802,00",https://hu.wikipedia.org/wiki/Jászjákóhalma,,
Lengyeltóti,"2 876,00",https://hu.wikipedia.org/wiki/Lengyeltóti,,
Podivin,"2 974,00",https://en.wikipedia.org/wiki/Podivin,,
Szepesszombat,"2 979,00",https://hu.wikipedia.org/wiki/Szepesszombat,,
