city,LAT,LON,population,players,log_population,sqrt_population,cbrt_population
Tótkeszi,46.7487039,18.2253731,1048.0,"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Nemes_S%C3%A1ndor"">Nemes Sándor - 1899.09.25</a>",3.0203612826477078,32.37282811247729,10.157506156265402
Mocsolád,46.5763073,17.8249896,301.0,"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Kalm%C3%A1r_Jen%C5%91_(labdar%C3%BAg%C3%B3)"">Kalmár Jenő - 1908.03.21</a>",2.4785664955938436,17.349351572897472,6.70175939537807
Medve,47.8000105,17.6607602,532.0,"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Schaller_J%C3%B3zsef"">Schaller József - 1894.12.27</a>",2.7259116322950483,23.065125189341593,8.102839019043893
?,,,1671004.0,"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/%C3%81d%C3%A1m_S%C3%A1ndor_(labdar%C3%BAg%C3%B3)"">Ádám Sándor - 1918.02.10</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Berecz_Istv%C3%A1n_(labdar%C3%BAg%C3%B3)"">Berecz István - 1913.12.10</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Deutsch_%C3%81rp%C3%A1d"">Deutsch Árpád - 1894.10.01</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/D%C3%B6m%C3%B6t%C3%B6r_B%C3%A9la"">Drössler Béla - 1903.02.23</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Engel_Vilmos"">Engel Vilmos - 1894.03.11</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Fr%C3%B6hlich_S%C3%A1ndor"">Fröhlich Sándor - 1897.09.11</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Gr%C3%B3sz_J%C3%B3zsef"">Grósz József - 1883.11.15</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://hu.wikipedia.org/wiki/Győri_József_(labdarúgó)"">Győri József - 1910.09.03</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/H%C3%B3ri_Gy%C3%B6rgy"">Hóri György - 1908.02.03</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Horv%C3%A1th_Ferenc_(labdar%C3%BAg%C3%B3,_1914)"">Horváth Ferenc - 1914</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Horv%C3%A1th_J%C3%B3zsef_(labdar%C3%BAg%C3%B3,_1890)"">Horváth József - 1890.09.25</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Huber_Rezs%C5%91"">Huber Rezső - 1903.09.03</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/K%C3%A9sm%C3%A1rky_%C3%81kos"">Késmárky Ákos - 1886.11.13</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Kocsis_Ferenc_(labdar%C3%BAg%C3%B3,_1891)"">Kocsis Ferenc - 1891.06.29</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/K%C3%B3sa_Lajos_(labdar%C3%BAg%C3%B3)"">Kósa Lajos - 1898.06.11</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Lhottka_Ferenc"">Lhottka Ferenc - 1896</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Ligeti_Jen%C5%91"">Ligeti Jenő - 1905.08.14</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Magyar_Ferenc_(labdar%C3%BAg%C3%B3)"">Magyar Ferenc - 1905</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Manglitz_Ferenc"">Manglitz Ferenc - 1883.07.28</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Nagy_Antal_(labdar%C3%BAg%C3%B3,_1912)"">Nagy Antal - 1913.03.19</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Ny%C3%BAl_Vilmos"">Nyúl Vilmos - 1901.11.13</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/P%C3%A1kozdi_L%C3%A1szl%C3%B3_(labdar%C3%BAg%C3%B3)"">Pákozdi László - 1916.06.30</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://hu.wikipedia.org/wiki/Rácz_Béla_(labdarúgó)"">Rácz Béla - 1893.09.14</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/R%C3%A1zs%C3%B3_Izidor"">Rázsó Izidor - 1896.12.27</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Remete_Imre"">Remete Imre - 1904</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Rokken_Imre"">Rokken Imre - 1903</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/R%C3%B3nay_Zolt%C3%A1n"">Rónay Zoltán - 1890</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://hu.wikipedia.org/wiki/Ruzsa_Sándor"">Ruzsa Sándor - 1920.03.09</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Schaar_Izidor"">Schaár Izidor - 1886.08.01</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Sikl%C3%B3ssy_Antal"">Siklóssy Antal - 1896.06.02</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Simon_Ferenc_(labdar%C3%BAg%C3%B3)"">Simon Ferenc - 1886.02.24</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Sipos_Istv%C3%A1n_(labdar%C3%BAg%C3%B3)"">Sipos István - 1928.06.07</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Steiner_Bertalan"">Steiner Bertalan - 1881.10.20</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Szaffka_Zolt%C3%A1n"">Szaffka Zoltán - 1895.04.28</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Szemere_Antal"">Szemere Antal - 1910</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Szendr%C5%91_Oszk%C3%A1r"">Szendrő Oszkár - 1889.04.11</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Sz%C5%B1cs_G%C3%A9za"">Szűcs Géza - 1906.12.14</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Tag%C3%A1nyi_%C3%81rp%C3%A1d"">Tagányi Árpád - 1919.11.27</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/T%C3%B3th_Jen%C5%91_(labdar%C3%BAg%C3%B3)"">Tóth Jenő - 1901.12.17</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Vincze_K%C3%A1roly"">Vincze Károly - 1884.05.30</a><br><a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Werner_Ign%C3%A1c"">Werner Ignác - 1901.03.30</a>",6.222977489495934,1292.67319922709,118.66587060583396
Agyagosszergény,47.6092415,16.9409272,936.0,"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://hu.wikipedia.org/wiki/Csapó_Károly_(labdarúgó,_1952)"">Csapó Károly - 1952.02.23</a>",2.971275848738105,30.59411708155671,9.781946493017497
Ajka,47.1056579,17.5587276,26643.0,"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Pet%C5%91_Tam%C3%A1s"">Pető Tamás - 1974.06.08</a>",4.425583124780946,163.22683602888344,29.867190701725107
Alsónémedi,47.3146713,19.165704,5552.0,"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/T%C3%B6r%C3%B6k_G%C3%A1bor_(labdar%C3%BAg%C3%B3)"">Török Gábor - 1936.05.30</a>",3.7444494574467986,74.51174404078863,17.707197005131285
Alsótold,47.9540746,19.59694,231.0,"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://hu.wikipedia.org/wiki/Kautzky_J%C3%B3zsef_(labdar%C3%BAg%C3%B3)"">Kautzky József - 1902.10.18</a>",2.3636119798921444,15.198684153570664,6.135792439661959
Alsóújlak,47.0822227,16.8531169,546.0,"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/Szab%C3%B3_Ferenc_(labdar%C3%BAg%C3%B3,_1921)"">Szabó Ferenc - 1921.02.28</a>",2.7371926427047373,23.366642891095847,8.173302025563114
Anarcs,48.1782578,22.1032718,1835.0,"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""http://hu.wikipedia.org/wiki/T%C3%B6r%C3%B6k_P%C3%A9ter_(labdar%C3%BAg%C3%B3)"">Török Péter - 1951.04.18</a>",3.263636068588108,42.83689998120779,12.242741778318786
