name,city,birth_date,wiki_link
Aczél Zoltán,Budapest,1967.03.13,http://hu.wikipedia.org/wiki/Acz%C3%A9l_Zolt%C3%A1n
Ádám Martin,Szeged,1994.11.06,https://hu.wikipedia.org/wiki/Ádám_Martin
Ádám Sándor,?,1918.02.10,http://hu.wikipedia.org/wiki/%C3%81d%C3%A1m_S%C3%A1ndor_(labdar%C3%BAg%C3%B3)
Aknai Jenő,Budapest,1908.04.19,http://hu.wikipedia.org/wiki/Aknai_J%C3%A1nos
Albert Flórián,Hercegszántó,1941.09.15,"https://hu.wikipedia.org/wiki/Albert_Flórián_(labdarúgó,_1941)"
Albert Flórián ifj.,Budapest,1967.12.12,"http://hu.wikipedia.org/wiki/Albert_Fl%C3%B3ri%C3%A1n_(labdar%C3%BAg%C3%B3,_1967)"
Amsel Ignác,Kispest,1899.01.17,http://hu.wikipedia.org/wiki/Amsel_Ign%C3%A1c
Andrusch József,Budapest,1956.03.31,http://hu.wikipedia.org/wiki/Andrusch_J%C3%B3zsef
Arany László,Tatabánya,1971.03.09,http://hu.wikipedia.org/wiki/Arany_L%C3%A1szl%C3%B3_(labdar%C3%BAg%C3%B3)
Aranyos Imre,Kisvárda,1966.06.13,http://hu.wikipedia.org/wiki/Aranyos_Imre
Aspirány Gusztáv,Budapest,1925.09.17,http://hu.wikipedia.org/wiki/Aspir%C3%A1ny_Guszt%C3%A1v
Avar István,Arad,1905.05.30,http://hu.wikipedia.org/wiki/Avar_Istv%C3%A1n_(labdar%C3%BAg%C3%B3)
Babolcsay György,Sashalom,1921.12.26,http://hu.wikipedia.org/wiki/Babolcsay_Gy%C3%B6rgy
Babos Gábor,Sopron,1974.10.24,http://hu.wikipedia.org/wiki/Babos_G%C3%A1bor
Bácsi Sándor,Budapest,1969.11.26,http://hu.wikipedia.org/wiki/B%C3%A1csi_S%C3%A1ndor
Bádonyi Gyula,Szerencs,1882.09.17,http://hu.wikipedia.org/wiki/Bádonyi_Gyula
Bakó Béla,Szeged,1928.11.19,http://hu.wikipedia.org/wiki/Bak%C3%B3_B%C3%A9la_(labdar%C3%BAg%C3%B3)
Bakos Sándor,Budapest,1939.08.02,http://hu.wikipedia.org/wiki/Bakos_S%C3%A1ndor
Bálint László,Budapest,1948.02.01,"http://hu.wikipedia.org/wiki/B%C3%A1lint_L%C3%A1szl%C3%B3_(labdar%C3%BAg%C3%B3,_1948)"
Balog Tibor,Kakucs,1966.03.01,"http://hu.wikipedia.org/wiki/Balog_Tibor_(labdar%C3%BAg%C3%B3,_1966)"
Balog Tibor,Kiskunmajsa,1963.08.31,"http://hu.wikipedia.org/wiki/Balog_Tibor_(labdar%C3%BAg%C3%B3,_1963)"
Balog Zoltán,Budapest,1967.11.06,"http://hu.wikipedia.org/wiki/Balog_Zolt%C3%A1n_(labdar%C3%BAg%C3%B3,_1967)"
Balog Zoltán,Békés,1978.02.22,"http://hu.wikipedia.org/wiki/Balog_Zolt%C3%A1n_(labdar%C3%BAg%C3%B3,_1978)"
Balogh Balázs,Budapest,1990.06.11,"http://hu.wikipedia.org/wiki/Balogh_Bal%C3%A1zs_(labdar%C3%BAg%C3%B3,_1990)"
Balogh Béla,Budapest,1984.12.30,http://hu.wikipedia.org/wiki/Balogh_B%C3%A9la_(labdar%C3%BAg%C3%B3)
Balogh Botond,Sopron,2002.06.06,https://hu.wikipedia.org/wiki/Balogh_Botond
Balogh István,Budapest,1912.09.21,http://hu.wikipedia.org/wiki/Balogh_Istv%C3%A1n_(labdar%C3%BAg%C3%B3)
Balogh János,Debrecen,1982.11.29,http://hu.wikipedia.org/wiki/Balogh_J%C3%A1nos_(labdar%C3%BAg%C3%B3)
